participant.code,ratemo_1,ratemo_2,ratemo_3,ratemo_4,ratemo_5,ratemo_6,ratemo_7,ratemo_8,ratemo_9,ratemo_10,ratemo_11,ratemo_12,ratemo_13,ratemo_14,ratemo_15,ratemo_16,ratemo_17,ratemo_18,ratemo_19,ratemo_20,ratemo_21,ratemo_22,ratemo_23,ratemo_24,Trust1_gen,Trust2_gen,Trust3_gen,Trust4_gen,Trust5_gen,Trust6_gen,q_gender,q_age,q_INK,q_INS,q_INK2,q_INS2,crt_bat,crt_widget,crt_lake,crt_bat01,crt_widget01,crt_lake01,crt,crt_HAP,crt_1st,crt_2nd,crt_3rd,crt_sup,bomb,boxes_collected
xmp26ysj,2,4,4,3,2,2,4,3,3,3,2,3,2,2,3,1,3,3,3,3,2,2,3,2,3,2,2,2,5,4,male,20,y1-2,y12-15,y1-2,y10-,5,100,12,1,0,0,1,3,4,3,1,2,0,17
rxmnj02l,2,1,5,1,4,3,4,5,2,1,3,2,4,5,2,5,4,2,5,4,2,4,4,1,2,2,6,5,6,5,female,20,y1-2,y8-10,y1-2,y8-10,10,5,24,0,1,0,1,8,4,4,2,3,0,23
aj2ui903,5,4,4,4,2,4,1,2,4,1,4,5,2,5,3,4,2,4,4,4,2,1,1,1,2,2,2,2,5,5,male,21,y1-2,y15-20,y1-2,y10-,5,5,47,1,1,1,3,8,3,2,1,3,1,43
f9z0mn07,2,2,1,3,2,1,2,3,3,3,2,1,2,3,3,1,1,2,3,3,2,3,3,2,2,2,4,2,4,4,female,20,y1-2,y20-,y1-2,y10-,10,1,30,0,0,0,0,10,1,1,2,1,0,15
so1tvkdi,2,2,4,3,3,3,3,3,2,2,4,3,4,5,3,5,3,2,4,4,4,4,2,3,2,4,2,3,4,2,male,22,y1-2,y1-2,y1-2,y1-2,10,1,96,0,0,0,0,8,3,3,4,2,1,20
49tv7eqb,3,2,4,3,4,1,4,3,4,2,3,4,4,5,4,4,2,3,2,4,2,4,4,4,3,2,5,3,2,6,female,21,unknown,unknown,unknown,unknown,5,5,24,1,1,0,2,7,3,1,1,1,1,80
478z0mn0,4,3,2,4,2,1,4,1,3,2,4,4,2,4,4,2,3,4,4,2,2,3,2,4,2,2,2,5,2,5,male,20,y1-2,unknown,y1-2,unknown,10,5,47,0,1,1,2,4,2,1,1,3,0,9
hltf3kaz,5,4,4,5,1,4,4,2,2,2,4,2,4,4,2,4,2,3,2,4,3,4,4,2,5,5,5,5,6,6,male,21,unknown,unknown,unknown,unknown,5,5,47,1,1,1,3,8,3,3,2,3,1,100
z6o94k16,4,4,4,2,4,4,4,2,2,1,4,2,4,4,2,4,4,4,4,4,2,4,2,2,5,5,5,4,5,5,male,20,y1-2,unknown,y1-2,unknown,5,5,30,1,1,0,2,9,4,4,4,4,0,73
ab8rho8m,4,5,3,4,3,5,3,2,5,2,4,3,2,5,3,4,3,3,2,5,2,2,2,2,2,3,2,2,4,6,male,21,y1-2,y0,y1-2,y0,10,100,24,0,0,0,0,5,3,4,4,1,1,57
9wq2xspv,2,4,4,2,2,2,4,2,3,2,4,3,4,4,3,4,2,4,4,3,3,3,3,2,3,3,3,5,6,5,female,20,y1-2,y1-2,y1-2,y1-2,5,100,24,1,0,0,1,7,3,4,2,4,0,70
4obyqsmy,5,3,4,4,3,3,4,2,2,1,3,2,4,5,3,5,3,3,3,3,3,3,3,2,6,6,6,4,6,6,female,21,y1-2,y8-10,y1-2,y8-10,5,5,5,1,1,0,2,8,4,2,1,2,0,16
n06pm2c9,2,1,3,2,2,4,1,4,2,5,3,1,4,5,2,4,1,2,4,4,3,2,3,4,5,5,6,4,4,6,female,21,y1-2,y10-12,y1-2,y10-,5,5,12,1,1,0,2,9,1,2,1,1,1,70
ihkumk8l,3,4,4,4,2,4,5,1,4,1,4,2,2,5,4,4,1,4,2,4,3,5,3,2,2,2,5,3,2,5,male,21,y1-2,y4-6,y1-2,y4-6,5,5,47,1,1,1,3,2,3,1,3,3,1,30
d9oeetko,2,3,3,2,4,2,2,3,4,2,3,3,2,4,4,3,3,3,2,3,4,2,3,2,3,3,4,2,5,5,female,21,y1-2,unknown,y1-2,unknown,10,5,24,0,1,0,1,4,3,4,3,2,0,50
oyliggow,4,2,4,2,2,2,4,2,3,2,4,2,4,5,2,5,2,2,3,4,2,2,2,4,1,2,3,5,2,2,male,21,y1-2,y20-,y1-2,y10-,10,100,47,0,0,1,1,3,3,3,2,3,1,71
wc363tqz,4,1,4,4,2,3,1,2,2,1,5,1,4,5,2,5,1,1,5,4,2,2,2,1,3,5,6,2,7,5,male,21,y1-2,unknown,y1-2,unknown,5,5,47,1,1,1,3,5,3,2,3,4,0,50
l64sb2f0,2,2,4,2,4,4,3,4,3,2,4,2,4,4,4,4,2,4,3,4,3,4,4,2,3,4,4,3,3,5,male,20,y1-2,y12-15,y1-2,y10-,5,5,47,1,1,1,3,6,1,1,1,3,0,1
rgpq2eqe,4,2,4,4,4,2,4,2,4,4,2,4,4,4,5,4,4,5,2,2,4,4,4,4,5,4,4,6,4,6,female,20,y4-6,y8-10,y4-6,y8-10,10,100,24,0,0,0,0,7,3,4,4,1,1,46
qe1sige5,2,2,5,2,4,1,3,4,2,2,4,1,5,4,4,4,2,2,5,4,2,4,5,2,2,6,6,6,6,6,female,21,y1-2,y6-8,y1-2,y6-8,10,100,36,0,0,0,0,9,2,3,4,4,1,60
